Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
1/20/2016 3:51,Product1,1200,Visa,Elizabeth,The Grange,Queensland,Australia,11/12/2015 3:34,1/20/2016 13:11,-24.8166667,152.4166667
1/15/2016 11:26,Product1,1200,Visa,Nicole,Brookline                   ,MA,United States,7/11/2007 11:18,1/20/2016 14:01,42.33167,-71.12167
1/5/2016 16:55,Product1,1200,Visa,Jeffrey,Montreal-Nord,Quebec,Canada,9/29/2003 17:08,1/20/2016 14:38,45.6,-73.6166667
1/12/2016 19:47,Product1,1200,Mastercard,Blanca Gabriela ,Irving                      ,TX,United States,12/10/2015 21:49,1/20/2016 18:02,32.81389,-96.94861
1/4/2016 19:20,Product1,1200,Amex,Elisa,Ottawa Hills                ,OH,United States,1/4/2016 18:38,1/20/2016 18:03,41.66417,-83.64333
1/10/2016 8:33,Product2,3600,Mastercard,Patricia ,Portola Valley              ,CA,United States,2/4/2007 10:09,1/20/2016 22:06,37.38417,-122.23417
1/9/2016 14:51,Product1,1200,Visa,Bob,Sydney,New South Wales,Australia,1/7/2016 18:15,1/21/2016 0:29,-33.8833333,151.2166667
1/16/2016 2:41,Product3,7500,Visa,Kristyn,Kearns                      ,UT,United States,1/15/2016 18:01,1/21/2016 1:02,40.66,-111.99556
1/16/2016 18:36,Product1,1200,Visa,Elizabeth,Wollongong,New South Wales,Australia,11/1/2015 16:32,1/21/2016 1:49,-34.4333333,150.8833333
1/20/2016 8:10,Product1,1200,Amex,Cathy,Brooklyn                    ,NY,United States,8/5/2007 18:52,1/21/2016 5:16,40.65,-73.95
1/6/2016 12:45,Product2,3600,Amex,Kaylee,Penngrove                   ,CA,United States,1/5/2016 14:06,1/21/2016 11:18,38.29972,-122.66556
1/10/2016 8:13,Product1,1200,Visa,suzanne,Lemont                      ,IL,United States,1/9/2016 19:15,1/21/2016 11:35,41.67361,-88.00167
1/7/2016 14:15,Product1,1200,Mastercard,Cassandra,San Carlos                  ,CA,United States,1/5/2016 15:42,1/21/2016 12:00,37.50722,-122.25944
1/8/2016 15:27,Product1,1200,Mastercard,Jennifer,Chicago                     ,IL,United States,1/4/2016 22:22,1/21/2016 13:28,41.85,-87.65
1/21/2016 11:36,Product1,1200,Visa,nicole,Oslo,Oslo,Norway,12/23/2015 12:02,1/21/2016 13:47,59.9166667,10.75
1/21/2016 14:06,Product1,1200,Visa,Sean,Wantagh,NY,United States,1/21/2016 12:00,1/21/2016 14:06,40.68361,-73.51056
1/2/2016 2:28,Product1,1200,Mastercard,Morgan,Coomera,Queensland,Australia,5/3/2015 4:14,1/21/2016 16:37,-27.8833333,153.3
1/19/2016 19:07,Product1,1200,Diners,Harriet,Fort Oglethorpe             ,GA,United States,1/19/2016 16:52,1/21/2016 17:02,34.94889,-85.25694
1/18/2016 6:27,Product1,1200,Mastercard,Janine,Corbin City                 ,NJ,United States,10/27/2005 19:22,1/21/2016 17:10,39.24167,-74.81556
1/20/2016 11:58,Product1,1200,Mastercard,Debora,Lakeside                    ,CA,United States,11/1/2015 23:14,1/21/2016 17:25,32.85722,-116.92139
1/20/2016 16:32,Product1,1200,Visa,Vishpala,Margate                     ,FL,United States,1/2/2015 9:52,1/21/2016 19:05,26.30972,-80.2375
